"Clase","Bin","Bin_center","AP","n"
"Vehículo grande","[0,0.1]",0.05,0.134195624818731,15560
"Vehículo grande","(0.1,0.2]",0.15,0.116226206116485,17019
"Vehículo grande","(0.2,0.3]",0.25,0.135394271110436,19917
"Vehículo grande","(0.3,0.5]",0.4,0.501752054117059,86038
"Vehículo grande","(0.5,1.22]",0.86,0.210707539132608,61466
"Persona","[0,0.1]",0.05,0.883011399829493,15560
"Persona","(0.1,0.2]",0.15,0.903610787132841,17019
"Persona","(0.2,0.3]",0.25,0.929155158807488,19917
"Persona","(0.3,0.5]",0.4,0.924997534888651,86038
"Persona","(0.5,1.22]",0.86,0.850419018536823,61466
