Word;Category
constipate;V
bleed;V
lynch;V
corrugate;V
metrify;V
fructify;V
enact;V
outclass;V
consist;V
eventuate;V
empower;V
activate;V
overrun;V
collimate;V
undernourish;V
urbanize;V
elicit;V
indurate;V
summon;V
abate;V
redeploy;V
moisten;V
copulate;V
narcotize;V
metalize;V
clapperclaw;V
entangle;V
suffuse;V
mistranslate;V
centralize;V
have;V
embank;V
originate;V
redevelop;V
validate;V
instill;V
capitulate;V
accede;V
luminesce;V
backbite;V
impregnate;V
prejudge;V
undock;V
perceive;V
anatomize;V
suspend;V
suborn;V
enumerate;V
overproduce;V
cremate;V
victual;V
linearize;V
whish;V
overgrow;V
overtake;V
harshen;V
facilitate;V
embezzle;V
vindicate;V
unlash;V
pupate;V
fictionalize;V
distrain;V
obviate;V
catheterize;V
unblock;V
misgive;V
digitalize;V
insure;V
reconquer;V
remember;V
earn;V
foist;V
nominate;V
aberrate;V
emcee;V
dynamize;V
embitter;V
fertilize;V
lubricate;V
dandify;V
yowl;V
ignore;V
typeset;V
disinfest;V
idealize;V
deface;V
litigate;V
perturb;V
append;V
iterate;V
linger;V
learn;V
restrengthen;V
heckle;V
sing;V
reify;V
outroar;V
whiten;V
engulf;V
jibe;V
perambulate;V
glamorize;V
deprive;V
deactivate;V
injure;V
redouble;V
abdicate;V
obsess;V
implode;V
doff;V
dismiss;V
chronicle;V
resurrect;V
subjoin;V
disintegrate;V
adjust;V
outstay;V
subserve;V
accompany;V
intersperse;V
expectorate;V
tribulate;V
fascinate;V
seethe;V
disown;V
embody;V
disabuse;V
perplex;V
engender;V
decelerate;V
vanish;V
woosh;V
powderize;V
inflict;V
conglobate;V
personify;V
clench;V
abscond;V
help;V
dichotomize;V
vibrate;V
fishtail;V
anthologize;V
propound;V
embrittle;V
contaminate;V
excel;V
syncretize;V
intimidate;V
connote;V
envelop;V
emerge;V
diazotize;V
formulate;V
reread;V
deplore;V
forewarn;V
evade;V
underlay;V
surmount;V
wive;V
precess;V
transact;V
flog;V
tar;V
preconceive;V
seep;V
banish;V
slosh;V
extinguish;V
esterify;V
assassinate;V
strew;V
hew;V
populate;V
botanize;V
pretermit;V
misdate;V
arrogate;V
find;V
disarrange;V
vex;V
muddle;V
lower;V
thrive;V
extradite;V
reface;V
outvote;V
obstinate;V
recover;V
mismanage;V
determine;V
declassify;V
calve;V
overbalance;V
encroach;V
chaw;V
restore;V
chastise;V
incandesce;V
resound;V
teem;V
stroll;V
certify;V
help;V
misperceive;V
chomp;V
reinsure;V
relegate;V
underquote;V
meddle;V
mope;V
alienate;V
shrivel;V
coexist;V
synthesize;V
elate;V
put;V
ogle;V
itemize;V
define;V
wreathe;V
homogenize;V
underspend;V
orchestrate;V
reflate;V
repercuss;V
absolve;V
overtrump;V
individualize;V
solidify;V
discontent;V
dehumidify;V
humiliate;V
nab;V
involve;V
uncork;V
disclaim;V
frap;V
diverge;V
impeach;V
suffice;V
concede;V
predominate;V
convey;V
oversee;V
officialize;V
whine;V
explode;V
syncopate;V
doodle;V
wane;V
professionalize;V
foment;V
deride;V
indoctrinate;V
;V
overdo;V
overreach;V
thrombose;V
nucleate;V
confuse;V
uniformize;V
carmine;V
orb;V
overfeed;V
unspell;V
equate;V
carburet;V
novate;V
exist;V
interrogate;V
examine;V
extricate;V
bestir;V
osculate;V
resuspend;V
flame;V
devitrify;V
impute;V
mispronounce;V
attorn;V
accumulate;V
ditto;V
be;V
decapitate;V
repaint;V
reintegrate;V
handcraft;V
shout;V
refinish;V
dilate;V
magnify;V
locate;V
sew;V
acquit;V
mourn;V
shadowbox;V
recycle;V
ulcerate;V
replant;V
doss;V
overexert;V
demonstrate;V
vitrify;V
concur;V
slight;V
translate;V
blossom;V
circulate;V
extort;V
overawe;V
extract;V
discontinue;V
backpedal;V
fiddle;V
rubricate;V
consonate;V
underdevelop;V
