ID	Molecule_type	LogP	Aromatic_rings	Molecular_weight	H_bond_acceptors	H_bond_donors	Polar_surface_area	Rotatable_bonds	C	F	I	N	O	P	S	T	X	Y	CC	CF	CI	CN	CO	CP	CS	CT	CX	CY	FT	IT	NN	NO	NP	NS	NT	OP	OS	OT	PS	ST	TX	TY	CCC	CCF	CCI	CCN	CCO	CCS	CCT	CCX	CCY	CFT	CIT	CNC	CNN	CNO	CNP	CNS	CNT	COC	CON	COP	COS	COT	CPO	CSC	CSN	CSO	CSP	CST	CXT	CYT	FCF	NCN	NCO	NCS	NCT	NCX	NNN	NOT	NPN	NPS	NSO	OCO	OCP	OCS	OCT	ONO	OPO	OPS	OSO	POT	PST	SCS	SCT	SNT	SOT	SPS	XCX	CCCC	CCCF	CCCI	CCCN	CCCO	CCCS	CCCT	CCCX	CCCY	CCFT	CCIT	CCNC	CCNN	CCNO	CCNP	CCNS	CCNT	CCOC	CCON	CCOS	CCOT	CCSC	CCSN	CCSO	CCSP	CCST	CCXT	CCYT	CNCN	CNCO	CNCS	CNCT	CNCX	CNNC	CNNN	CNOC	CNOT	CNPN	CNPS	CNSC	CNSO	COCN	COCO	COCP	COCS	COCT	COPC	COPO	COPS	COSC	COSO	CPOT	CSCN	CSCO	CSCS	CSCT	CSNT	CSOT	CSPO	CSPS	FCCF	FCCN	FCCO	FCFT	ICCN	ICCO	ICCT	NCCN	NCCO	NCCS	NCCT	NCCX	NCNN	NCNO	NCNS	NCNT	NCON	NCOT	NCSN	NCSO	NCST	NCXT	NNCO	NNCS	NNCT	NNNN	NOCT	NPST	NSCS	NSCT	NSOT	OCCO	OCCS	OCCT	OCCX	OCNO	OCNS	OCNT	OCOP	OCOT	OCPO	ONOT	OPOT	OPST	OSCS	OSCT	OSNT	OSOT	POCT	SCCT	SCCX	SCNS	SCNT	SCOT	SNCT	SPST	TCCX	TCOT	TXCX	XCCX	double_bonds	triple_bonds	number_of_charges	net_charge	number_of_rings
CHEMBL479	Antipsychotic	5.56	2	370.57	4	0	57.08	4	21	0	0	2	0	0	2	2	0	0	36	0	0	12	0	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	16	0	12	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	32	0	0	16	0	12	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
CHEMBL441	Barbiturate	3.19	0	242.34	4	2	97.32	4	11	0	0	2	2	0	1	6	0	0	18	0	0	8	4	0	2	6	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	24	0	0	4	4	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	2	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	12	12	0	8	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1
CHEMBL547	Retinoic	5.55	0	300.44	2	1	37.29	5	20	0	0	0	2	0	0	7	0	0	40	0	0	0	4	0	0	10	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	54	0	0	0	4	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	4	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1
CHEMBL449	Barbiturate	1.45	0	212.25	3	2	75.27	3	10	0	0	2	3	0	0	6	0	0	16	0	0	8	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	22	0	0	4	4	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	12	12	0	8	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1
CHEMBL1062	Hormone	3.12	0	330.46	3	1	54.37	1	21	0	0	0	3	0	0	6	0	0	48	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	76	0	0	0	14	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	18	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4
CHEMBL671	Chemotherapy	-0.76	0	189.22	1	0	50.93	3	6	0	0	3	0	1	1	1	0	0	6	0	0	12	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	2	0	0	0	0	0	12	0	0	0	0	0	0	0	6	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3
CHEMBL448	Barbiturate	1.91	0	226.27	3	2	75.27	4	11	0	0	2	3	0	0	6	0	0	18	0	0	8	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	24	0	0	4	4	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	12	12	0	8	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1
CHEMBL515	Chemotherapy	3.9	1	304.21	3	1	40.54	9	14	0	0	1	2	0	0	4	2	0	24	0	0	6	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	22	0	0	8	4	0	0	4	0	0	0	6	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	4	4	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
CHEMBL727	Chemotherapy	-0.04	1	167.19	4	3	111.18	0	5	0	0	5	0	0	1	2	0	0	4	0	0	18	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	2	0	0	10	0	2	0	0	0	0	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2
CHEMBL1200624	Hormone	4.97	0	384.51	4	0	52.6	4	24	0	0	0	4	0	0	6	0	0	50	0	0	0	12	0	0	8	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	70	0	0	0	18	0	8	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	14	0	8	0	0	0	0	0	0	0	0	0	0	14	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	4
